구분,페르소나,역할,핵심KPI,관능관점,색상/외관관점,차별화관점,주요판단질문,대표스크립트(실제발언),주요산출물,다음단계연결,되돌림피드백,
Stage A,A_식품기획자,트렌드를 관능 가설 기반 제품 컨셉으로 구조화,관능 가설 설득력,지금 소비자가 좋아할 맛의 방향성 가설,SNS·진열대에서 직관적으로 이해되는 색상 이미지 설정,관능적으로 설명 가능한 차별 포인트 정의,이 맛이 왜 지금 먹히는가?,"이건 유행이라서가 아니라, 지금 소비자 입맛이 이렇게 이동하고 있어서 먹힙니다.",제품컨셉 CSV(플레이버·관능키워드·색상·USP),B_식품음료마케터,C의 관능·색상 구현 가능 범위 피드백 반영,
Stage A,A_식품기획자,컨셉 조정자,컨셉 일관성 유지,관능 키워드 재정렬,색상 톤·명도 재정의,차별화 메시지 단순화,이 컨셉은 아직 먹히는 말인가?,그럼 이건 이렇게 말 바꾸는 게 낫겠습니다. 맛의 중심을 이쪽으로 옮기죠.,컨셉 수정본 CSV,B_식품음료마케터,C 피드백 반영 결과 공유,
Stage B,B_식품음료마케터,팔릴 제품만 선별하는 상업적 필터,상품성·반복구매 가능성,첫 모금에서 이해되는 맛인지 판단,경쟁 제품 대비 진열대 주목도 확인,설명 없이 이해되는 차별성 평가,이걸 우리 회사에서 계속 팔 수 있는가?,"이 맛은 좋은데, 우리 채널에서는 한 번 사고 끝날 가능성이 큽니다.","평가 CSV(GO/HOLD/DROP,점수화)",C_음료전문개발연구원,C 개발 결과 기반 재평가,
Stage B,B_식품음료마케터,상품성 검증자,GO 유지 여부,반복 섭취 가능성 확인,패키지와 맛의 합치성,경쟁 SKU와의 간섭 여부,3년 SKU로 가져갈 수 있는가?,이 정도면 테스트 SKU 말고 메인으로 가도 됩니다.,최종 선정 SKU 리스트,C_음료전문개발연구원,C 결과 재검토,
Stage C,C_음료전문개발연구원,관능·색상·차별화를 기술로 구현,관능 완성도,첫 모금·후미·연속 섭취 안정성,자연감·색상 안정성·침전 여부,맛으로 체감되는 차별화 구현,이 맛과 색으로 실제 구매가 일어나는가?,"이건 기술적으로는 되는데, A가 말한 맛이랑은 다릅니다.",관능·색상·리스크 기술 검증표,A_식품기획자,관능·색상 구현 가능 범위 피드백,
Stage C,C_음료전문개발연구원,관능 책임자,관능 재현도,단맛·산미·후미 밸런스,색상 유지성 테스트,차별 포인트 유지 여부,3병 연속 마셔도 괜찮은가?,"맛은 통과인데, 색이 하루 지나면 죽습니다. 이건 컨셉 수정이 필요합니다.",파일럿 배합표·관능 리포트,A_식품기획자,B_식품음료마케터,컨셉·상품성 재조정 요청
Cycle Rule,공통규칙,관능 중심 순환사이클 운영,관능 최우선,관능 불합격 시 즉시 재설계,색상 불안정 시 컨셉 회귀,차별화 불명확 시 A로 회귀,지금 이 상태로 출시하면 다시 만들까?,이건 멈추고 한 바퀴 다시 돕시다.,사이클 회의록,A→B→C,C→A→B,
Evaluation Weight,Stage C 내부평가,관능·상품성 가중 평가,총합 1.0,관능 완성도 0.35,색상/외관 0.20,차별화 체감 0.15,공정 안정성 0.15,원가 0.15,관능+색상 55% 충족?,"맛이 안 되면, 원가가 싸도 의미 없습니다.",C 내부 평가 CSV,B 재검증
Exit Criteria,출시조건,사이클 종료 및 출시 승인,GO 유지,관능 합격,색상 합격,차별화 명확,이제 팔아도 되는가?,이 정도면 문제 생겨도 맛 때문에 다시 삽니다.,출시 승인서,양산/런칭,-,

