제품명/브랜드(가칭),카테고리,주요 소비층,플레이버,핵심 원재료 조합,USP(한 문장),차별점,강점,단점/리스크,인기 트렌드 적용,소비자 인기조합 가설,권장 패키지(친환경),시장 근거(출처),
YUZU-SUDACHI Sparkling Tea,스파클링 티/RTD,30대 남성(여행·프리미엄),유자+스다치,우롱/그린티 베이스+유자/스다치+저당 감미,여행지 감성의 시트러스 향을 저당으로 깔끔하게,일본 시트러스(스다치)로 차별화,프리미엄/저당/식사페어링 강함,시트러스 원료 수급·원가 변동,Exotic citrus+Low sugar+Premiumization,"유자-그린티, 시트러스-우롱",알루미늄 캔(고재활용)+스크류캡/테더드 옵션,아시아권 2026 음료 트렌드 및 2026 웰니스/저당 흐름(전문매체/트렌드 리포트)cite:turn0search11|turn0news40|turn0search17,
Calamansi Pomelo Prebiotic Soda,프리바이오틱 소다,20대 여성(운동·루틴),칼라만시+핑크포멜로,프리바이오틱 섬유(inulin/FOS)+시트러스+제로/저당,탄산으로 마시는 ‘가벼운 장 루틴’,‘프리바이오틱 소다’ 포지셔닝,운동 후/출근길 루틴화 용이,섬유 과다 시 복부팽만 이슈,Fiber/Gut health+Low sugar,시트러스-소다-프리바이오틱 조합,알루미늄 캔 또는 rPET(재생원료) 병,2026 트렌드에서 장 건강/기능성 드링크 성장 언급cite:turn0search5|turn0search8,
Pandan Coconut Cloud Latte,밀크티/라떼 RTD,20대 여성(SNS·카페대체),판단+코코넛,오트/코코넛 베이스+판단 향+저당,동남아 디저트 감성 라떼를 저당으로,판단(아시아 향미)로 희소성 확보,SNS 비주얼·향미 스토리,향 호불호(니치) 리스크,Asia flavor+Indulgence with better-for-you,판단-코코넛-오트,종이팩(종이기반) 또는 알루미늄 캔,2026 향미 트렌드로 판단 언급cite:turn0search11,
Shiso Lime Electrolyte Water,기능성 워터(전해질),20대 여성(운동),시소+라임,전해질(나트륨/칼륨/마그네슘)+허브(시소)+라임,운동 후 땀 회복을 ‘허브-시트러스’로 세련되게,전해질 워터를 허브향으로 차별화,운동 니즈 직결·가벼운 맛,전해질 함량 규격/표시 이슈,Hydration+Functional drinks,허브-라임-미네랄,알루미늄 캔 또는 rPET,기능성 드링크(수분/정신적 웰빙 포함) 성장cite:turn0search8|turn0search17,
Matcha Mate Clean Energy Sparkling,클린 에너지 탄산,30대 남성(자기관리·집중),말차+예르바마테,말차+마테+저당+비타민B군(선택),카페인 ‘쏘는 맛’ 없이 지속 에너지,에너지드링크를 티 캐리어로 재정의,여행/업무 집중용,카페인 민감층 주의,Clean energy+Tea-based function,말차-마테-시트러스 트위스트,알루미늄 캔,클린 에너지/기능성 음료 흐름cite:turn0search12|turn0search17,
L-theanine Citrus Calm Soda,멘탈케어 소다,20대 여성(스트레스),유자+라벤더(또는 시트러스 플로럴),L-테아닌+마그네슘(저용량)+시트러스,퇴근 후 ‘무알코올 릴랙스’ 탄산,멘탈케어를 ‘가벼운 소다’로 접근,사회초년 스트레스 타깃 적합,기능성 성분 규제/과대광고 리스크,Mood/Stress support+Low/No alcohol,시트러스-플로럴-테아닌,알루미늄 캔,2026 기능성 성분 트렌드(테아닌/마그네슘/아답토젠)cite:turn0search4|turn0news48|turn0search8,
Ashwagandha Ginger Swicy Tonic,아답토젠 토닉,30대 남성(프리미엄 웰니스),진저+스위시(스윗&스파이시),아슈와간다+진저+꿀향(저당)+탄산,자기관리형 ‘스트레스 토닉’,‘스위시’로 관능 차별화,프리미엄/바(Bar) 감성,아슈와간다 인식/규제 체크 필요,Adaptogen+Swicy flavor,진저-시트러스-허브,유리병(리유즈) 또는 알루미늄 캔,2026 기능성 성분 및 스위시 풍미 트렌드cite:turn0search4|turn0news40|turn0search17,
Lion’s Mane Citrus Sparkling Shot,웰니스 샷/소용량,30대 남성(집중·투자),시트러스+허니,라이언스메인+테아닌(선택)+시트러스,회의 많은 날 ‘집중 샷’ 1병,샷 타입으로 효능 기대감을 패키징,고가 프리미엄 가능,효능 체감/규제 커뮤니케이션 난이도,Nootropic ingredients+Functional shots,시트러스-허니-버섯,알루미늄 소캔 또는 rPET 소병,2026 노트로픽/멘탈 기능성 성분 트렌드cite:turn0search4|turn0search8,
Kombucha Yuzu Low Sugar,발효/콤부차,20대 여성(루틴)+30대 남성(웰니스),유자,콤부차 베이스+유자+저당,발효 탄산을 ‘유자’로 한국형 로컬라이즈,로컬 과일(유자)로 접근성↑,루틴형 반복구매 가능,발효 품질 편차/산미 호불호,Gut health+Fermented+Low sugar,콤부차-유자,알루미늄 캔 또는 유리병,한국 콤부차 시장 성장 전망(2026 이후)cite:turn0search1|turn0search5,
Protein Sparkling Lemonade (Whey/Clear),클리어 단백 탄산,20대 여성(운동),레몬에이드+시트러스,클리어 웨이/식물단백(클리어)+시트러스,탄산으로 마시는 ‘깔끔 단백’,단백=묵직함 인식을 깨는 ‘클리어’ 포맷,운동 직후/간식 대체,단백 비린내/안정성 기술 난이도,Powerhouse protein+Better-for-you,레몬-단백-탄산,알루미늄 캔,rtd에서 단백 트렌드 강화cite:turn0search5|turn0search8|turn0search13,
